timestamp,sensor_id,temperature,humidity
2026-09-04T08:00:00.000Z,SENS-01,32.0,40.0
2026-09-04T08:00:30.000Z,SENS-01,32.0,40.0
2026-09-04T08:01:00.000Z,SENS-02,27.5,35.0
2026-09-04T08:01:30.000Z,SENS-03,11.0,60.0
2026-09-04T08:02:00.000Z,SENS-01,34.0,42.0
2026-09-04T08:02:30.000Z,SENS-04,18.0,50.0
2026-09-04T08:03:00.000Z,SENS-02,28.0,30.0
2026-09-04T08:03:30.000Z,SENS-05,-3.0,70.0
2026-09-04T08:04:00.000Z,SENS-02,33.5,25.0
2026-09-04T08:04:30.000Z,SENS-03,14.0,55.0
2026-09-04T08:05:00.000Z,SENS-01,31.0,38.0
2026-09-04T08:05:30.000Z,SENS-02,26.0,33.0
2026-09-04T08:06:00.000Z,SENS-04,32.5,20.0
2026-09-04T08:06:30.000Z,SENS-04,32.5,20.0
2026-09-04T08:07:00.000Z,SENS-05,-5.0,75.0
2026-09-04T08:07:30.000Z,SENS-03,29.0,45.0
2026-09-04T08:08:00.000Z,SENS-01,35.0,40.0
2026-09-04T08:08:30.000Z,SENS-02,22.0,50.0
2026-09-04T08:09:00.000Z,SENS-02,31.5,28.0
2026-09-04T08:09:30.000Z,SENS-05,10.0,65.0
2026-09-04T08:10:00.000Z,SENS-01,32.0,39.0
2026-09-04T08:10:30.000Z,SENS-03,13.5,58.0
2026-09-04T08:11:00.000Z,SENS-02,27.0,32.0
2026-09-04T08:11:30.000Z,SENS-04,31.0,22.0
2026-09-04T08:12:00.000Z,SENS-01,33.0,41.0
2026-09-04T08:12:30.000Z,SENS-05,-2.0,70.0
2026-09-04T08:13:00.000Z,SENS-02,28.5,31.0
2026-09-04T08:13:30.000Z,SENS-03,9.0,62.0
2026-09-04T08:14:00.000Z,SENS-04,26.5,25.0
2026-09-04T08:14:30.000Z,SENS-01,34.5,37.0
2026-09-04T08:15:00.000Z,SENS-02,32.0,29.0
2026-09-04T08:15:30.000Z,SENS-03,28.0,44.0
2026-09-04T08:16:00.000Z,SENS-05,-4.0,72.0
2026-09-04T08:16:30.000Z,SENS-01,31.5,39.0
2026-09-04T08:17:00.000Z,SENS-04,33.0,21.0
2026-09-04T08:17:30.000Z,SENS-02,26.5,34.0
2026-09-04T08:18:00.000Z,SENS-03,12.0,59.0
2026-09-04T08:18:30.000Z,SENS-01,33.5,38.0
2026-09-04T08:19:00.000Z,SENS-04,20.0,48.0
2026-09-04T08:19:30.000Z,SENS-05,8.0,68.0
2026-09-04T08:20:00.000Z,SENS-02,31.0,27.0
2026-09-04T08:20:30.000Z,SENS-03,27.5,43.0
2026-09-04T08:21:00.000Z,SENS-01,32.5,40.0
2026-09-04T08:21:30.000Z,SENS-04,34.0,19.0
2026-09-04T08:22:00.000Z,SENS-05,-1.0,71.0
