timestamp,sensor_id,temp,hum
2026-09-04T08:00:15.000Z,SENS-01,31.8,40.5
2026-09-04T08:00:45.000Z,SENS-02,27.2,35.8
2026-09-04T08:00:30.000Z,SENS-01,32.1,39.9
2026-09-04T08:01:15.000Z,SENS-03,11.5,59.2
2026-09-04T08:01:00.000Z,SENS-02,26.9,36.1
2026-09-04T08:01:45.000Z,SENS-04,18.4,49.5
2026-09-04T08:02:15.000Z,SENS-01,33.7,41.8
2026-09-04T08:02:00.000Z,SENS-05,-2.8,69.5
2026-09-04T08:02:45.000Z,SENS-03,12.0,58.0
2026-09-04T08:03:15.000Z,SENS-02,28.3,30.4
2026-09-04T08:02:30.000Z,SENS-04,18.1,50.2
2026-09-04T08:03:45.000Z,SENS-05,-3.2,71.0
2026-09-04T08:04:15.000Z,SENS-01,32.9,39.2
2026-09-04T08:03:30.000Z,SENS-03,13.8,55.5
2026-09-04T08:04:45.000Z,SENS-02,33.1,25.8
2026-09-04T08:05:15.000Z,SENS-04,30.2,21.5
2026-09-04T08:04:00.000Z,SENS-05,-4.1,73.0
2026-09-04T08:05:45.000Z,SENS-01,31.2,37.5
2026-09-04T08:06:15.000Z,SENS-03,28.5,46.0
2026-09-04T08:05:30.000Z,SENS-02,25.8,33.5
2026-09-04T08:06:45.000Z,SENS-04,32.1,20.8
2026-09-04T08:07:15.000Z,SENS-05,-4.8,74.5
2026-09-04T08:06:00.000Z,SENS-01,34.8,40.2
2026-09-04T08:07:45.000Z,SENS-02,22.4,49.2
2026-09-04T08:08:15.000Z,SENS-03,29.3,44.8
2026-09-04T08:07:00.000Z,SENS-04,31.8,21.2
2026-09-04T08:08:45.000Z,SENS-01,35.2,39.8
2026-09-04T08:09:15.000Z,SENS-05,9.5,66.0
2026-09-04T08:08:00.000Z,SENS-02,23.0,48.5
2026-09-04T08:09:45.000Z,SENS-03,13.9,57.5
2026-09-04T08:10:15.000Z,SENS-04,31.5,22.8
2026-09-04T08:09:00.000Z,SENS-01,32.2,38.8
2026-09-04T08:10:45.000Z,SENS-05,10.2,64.2
2026-09-04T08:11:15.000Z,SENS-02,26.8,32.5
2026-09-04T08:10:00.000Z,SENS-03,14.1,56.8
2026-09-04T08:11:45.000Z,SENS-04,30.8,23.0
2026-09-04T08:12:15.000Z,SENS-01,33.4,40.6
2026-09-04T08:11:00.000Z,SENS-05,-1.9,69.8
2026-09-04T08:13:00.000Z,SENS-03,9.4,61.5
2026-09-04T08:13:30.000Z,SENS-02,28.1,31.6
2026-09-04T08:12:00.000Z,SENS-04,26.9,24.8
2026-09-04T08:14:15.000Z,SENS-01,34.1,37.8
2026-09-04T08:14:45.000Z,SENS-05,-3.8,71.5
2026-09-04T08:13:45.000Z,SENS-03,10.1,60.8
2026-09-04T08:15:30.000Z,SENS-02,31.7,29.4
2026-09-04T08:16:15.000Z,SENS-04,33.5,20.5
2026-09-04T08:15:00.000Z,SENS-01,31.9,38.5
2026-09-04T08:17:00.000Z,SENS-05,-4.5,73.2
2026-09-04T08:18:15.000Z,SENS-03,12.6,58.2
2026-09-04T08:16:45.000Z,SENS-02,26.1,34.8
